onset	v	c1c2	tr	word	target	keep_enough_distance	keep_no_overlap
l	é	¥l	lé¥lik	lénylik	lé¥l	FALSE	TRUE
b	ű	lß	bűlßik	bűlszik	bűlß	TRUE	TRUE
v	o	lß	volßik	volszik	volß	TRUE	TRUE
h	a	zz	hazzik	hazzik	hazz	FALSE	TRUE
d	ü	zz	düzzik	düzzik	düzz	TRUE	TRUE
t	e	bz	tebzik	tebzik	tebz	FALSE	TRUE
d	ö	ng	döngik	döngik	döng	TRUE	FALSE
¥	a	¥l	¥a¥lik	nyanylik	¥a¥l	FALSE	TRUE
¥	é	¥l	¥é¥lik	nyénylik	¥é¥l	FALSE	TRUE
s	o	ßp	soßpik	soszpik	soßp	TRUE	TRUE
k	i	sd	kisdik	kisdik	kisd	TRUE	TRUE
ç	u	sl	çuslik	csuslik	çusl	FALSE	TRUE
d	ü	gl	düglik	düglik	dügl	FALSE	TRUE
p	a	bz	pabzik	pabzik	pabz	FALSE	TRUE
f	i	zz	fizzik	fizzik	fizz	FALSE	TRUE
z	í	tß	zítßik	zítszik	zítß	TRUE	TRUE
j	í	rz	jírzik	jírzik	jírz	TRUE	TRUE
b	ű	ml	bűmlik	bűmlik	bűml	FALSE	TRUE
h	ü	gß	hügßik	hügszik	hügß	TRUE	TRUE
ß	ü	gr	ßügrik	szügrik	ßügr	TRUE	TRUE
h	ö	lß	hölßik	hölszik	hölß	TRUE	TRUE
p	a	sd	pasdik	pasdik	pasd	TRUE	TRUE
l	a	¥l	la¥lik	lanylik	la¥l	TRUE	TRUE
z	á	sl	záslik	záslik	zásl	TRUE	TRUE
k	i	bz	kibzik	kibzik	kibz	TRUE	TRUE
j	e	zz	jezzik	jezzik	jezz	TRUE	TRUE
l	ü	kß	lükßik	lükszik	lükß	TRUE	TRUE
d	i	¥l	di¥lik	dinylik	di¥l	TRUE	TRUE
j	i	ml	jimlik	jimlik	jiml	TRUE	TRUE
b	a	rz	barzik	barzik	barz	FALSE	TRUE
k	a	ll	kallik	kallik	kall	FALSE	TRUE
z	a	ßl	zaßlik	zaszlik	zaßl	FALSE	TRUE
NA	ö	tl	ötlik	ötlik	ötl	FALSE	TRUE
¥	a	jz	¥ajzik	nyajzik	¥ajz	FALSE	TRUE
b	o	gz	bogzik	bogzik	bogz	FALSE	TRUE
k	a	rd	kardik	kardik	kard	TRUE	FALSE
r	o	ßl	roßlik	roszlik	roßl	FALSE	TRUE
l	á	gz	lágzik	lágzik	lágz	FALSE	TRUE
d	í	kß	díkßik	díkszik	díkß	TRUE	TRUE
k	í	gß	kígßik	kígszik	kígß	TRUE	TRUE
d	e	rd	derdik	derdik	derd	TRUE	TRUE
k	é	jz	kéjzik	kéjzik	kéjz	TRUE	TRUE
j	é	gl	jéglik	jéglik	jégl	TRUE	TRUE
l	é	bz	lébzik	lébzik	lébz	FALSE	TRUE
p	ű	kl	pűklik	pűklik	pűkl	TRUE	TRUE
t	e	zl	tezlik	tezlik	tezl	FALSE	TRUE
b	i	jl	bijlik	bijlik	bijl	TRUE	TRUE
h	í	rd	hírdik	hírdik	hírd	FALSE	TRUE
l	é	rz	lérzik	lérzik	lérz	FALSE	TRUE
f	ö	rz	förzik	förzik	förz	TRUE	TRUE
NA	á	ßl	áßlik	ászlik	áßl	FALSE	TRUE
f	é	zz	fézzik	fézzik	fézz	TRUE	TRUE
