grammar_type	nsyl	front	word	pass_real	pass_nonce
noun	2	FALSE	vófít	TRUE	FALSE
noun	2	TRUE	sökrük	TRUE	TRUE
verb	1	FALSE	bút	FALSE	FALSE
verb	2	FALSE	rútíl	FALSE	TRUE
verb	2	TRUE	tőbök	TRUE	FALSE
verb	3	FALSE	kágulók	TRUE	TRUE
verb	3	TRUE	pészemep	TRUE	TRUE
noun	2	FALSE	vízíny	TRUE	TRUE
noun	2	TRUE	tükit	TRUE	FALSE
verb	1	FALSE	líz	FALSE	FALSE
verb	1	TRUE	güd	TRUE	FALSE
verb	2	FALSE	pubít	FALSE	TRUE
verb	2	TRUE	tirgit	TRUE	FALSE
verb	3	FALSE	rorlivag	TRUE	TRUE
verb	3	TRUE	pűjüszüz	TRUE	TRUE
noun	2	FALSE	túrar	FALSE	FALSE
noun	2	TRUE	szítíny	TRUE	TRUE
verb	1	FALSE	vit	FALSE	FALSE
verb	2	FALSE	szamil	TRUE	FALSE
verb	2	TRUE	sészil	TRUE	FALSE
verb	3	FALSE	sztolalít	TRUE	TRUE
verb	3	TRUE	tősüfér	TRUE	TRUE
noun	2	FALSE	lílan	TRUE	TRUE
noun	2	TRUE	tüfün	TRUE	FALSE
verb	2	FALSE	vámid	TRUE	TRUE
verb	2	TRUE	lővil	TRUE	FALSE
verb	3	FALSE	vóvafuz	TRUE	TRUE
verb	3	TRUE	peszínyit	TRUE	TRUE
noun	2	FALSE	lóraz	TRUE	FALSE
noun	2	TRUE	kőmöl	TRUE	FALSE
verb	1	FALSE	bít	FALSE	FALSE
verb	1	TRUE	szől	FALSE	FALSE
verb	2	FALSE	kibul	FALSE	FALSE
verb	2	TRUE	pűlík	TRUE	FALSE
verb	3	FALSE	vószlungál	TRUE	TRUE
verb	3	TRUE	lékökík	TRUE	TRUE
noun	2	FALSE	tatir	FALSE	TRUE
noun	2	TRUE	zökem	TRUE	TRUE
verb	1	FALSE	kol	FALSE	FALSE
verb	1	TRUE	gét	FALSE	FALSE
verb	2	FALSE	danal	FALSE	FALSE
verb	2	TRUE	breked	FALSE	TRUE
verb	3	FALSE	szojugyal	TRUE	TRUE
verb	3	TRUE	bípötűrt	TRUE	TRUE
noun	2	FALSE	komíng	TRUE	TRUE
noun	2	TRUE	fűldböny	TRUE	TRUE
verb	2	FALSE	lobok	FALSE	FALSE
verb	2	TRUE	seszüt	TRUE	TRUE
verb	3	FALSE	tamofól	TRUE	TRUE
verb	3	TRUE	mürgütelt	TRUE	TRUE
noun	2	FALSE	búdur	TRUE	FALSE
noun	2	TRUE	lünyeg	FALSE	TRUE
verb	1	FALSE	vil	FALSE	FALSE
verb	1	TRUE	deld	FALSE	FALSE
verb	2	FALSE	lifal	TRUE	FALSE
verb	2	TRUE	tivet	TRUE	FALSE
verb	3	FALSE	rumadul	TRUE	TRUE
verb	3	TRUE	kümvekőt	TRUE	TRUE
noun	2	FALSE	tasand	FALSE	FALSE
noun	2	TRUE	zűnün	TRUE	TRUE
verb	1	FALSE	fag	FALSE	FALSE
verb	2	FALSE	bálík	TRUE	FALSE
verb	2	TRUE	penyek	TRUE	TRUE
verb	3	FALSE	sónyafáz	TRUE	TRUE
verb	3	TRUE	rügüföl	TRUE	TRUE
noun	2	FALSE	nóndoy	TRUE	TRUE
noun	2	TRUE	keneg	FALSE	FALSE
verb	1	FALSE	bón	FALSE	FALSE
verb	1	TRUE	dük	FALSE	FALSE
verb	2	FALSE	kújtík	TRUE	TRUE
verb	2	TRUE	flírsül	TRUE	TRUE
verb	3	FALSE	furnutuk	TRUE	TRUE
verb	3	TRUE	besöpöz	TRUE	TRUE
noun	2	FALSE	mokít	FALSE	FALSE
noun	2	TRUE	vürnüz	TRUE	TRUE
verb	1	TRUE	löl	FALSE	FALSE
verb	2	FALSE	vordat	FALSE	TRUE
verb	2	TRUE	rüríl	TRUE	FALSE
verb	3	FALSE	bupovat	TRUE	TRUE
verb	3	TRUE	lémübel	TRUE	TRUE
noun	2	FALSE	kozum	TRUE	TRUE
noun	2	TRUE	kölöm	FALSE	FALSE
verb	1	FALSE	vul	FALSE	FALSE
verb	1	TRUE	míl	FALSE	FALSE
verb	2	FALSE	plágak	TRUE	TRUE
verb	2	TRUE	kőtüz	TRUE	FALSE
verb	3	FALSE	fukírujt	TRUE	TRUE
verb	3	TRUE	fívejől	TRUE	TRUE
noun	2	FALSE	szogín	TRUE	TRUE
noun	2	TRUE	fegregd	TRUE	TRUE
verb	1	FALSE	szut	FALSE	FALSE
verb	2	FALSE	tapíl	FALSE	FALSE
verb	2	TRUE	pepík	TRUE	FALSE
verb	3	FALSE	fípírkut	TRUE	TRUE
verb	3	TRUE	sölelőr	TRUE	TRUE
noun	2	FALSE	bígyud	TRUE	TRUE
noun	2	TRUE	vezüm	TRUE	TRUE
verb	1	FALSE	tog	FALSE	FALSE
verb	1	TRUE	líz	FALSE	FALSE
verb	2	FALSE	fumugy	TRUE	TRUE
verb	2	TRUE	sréldez	TRUE	TRUE
verb	3	FALSE	runtaftol	TRUE	TRUE
verb	3	TRUE	rűgevöz	TRUE	TRUE
noun	2	FALSE	bumag	TRUE	FALSE
noun	2	TRUE	kídet	TRUE	FALSE
verb	1	FALSE	lag	FALSE	FALSE
verb	1	TRUE	dül	FALSE	FALSE
verb	2	FALSE	dírgíl	TRUE	TRUE
verb	2	TRUE	sítüg	TRUE	FALSE
verb	3	FALSE	lákunak	TRUE	TRUE
verb	3	TRUE	vépepköt	TRUE	TRUE
noun	2	FALSE	búmínt	TRUE	TRUE
noun	2	TRUE	mütög	TRUE	FALSE
verb	1	FALSE	zút	FALSE	FALSE
verb	2	FALSE	biszot	TRUE	FALSE
verb	2	TRUE	müszön	TRUE	FALSE
verb	3	FALSE	lóbisál	TRUE	TRUE
verb	3	TRUE	nűfökel	TRUE	TRUE
noun	2	FALSE	nogyur	TRUE	TRUE
noun	2	TRUE	fímíl	TRUE	FALSE
verb	1	FALSE	szuk	FALSE	FALSE
verb	1	TRUE	fit	FALSE	FALSE
