grammar_type	nsyl	front	word
noun	1	FALSE	mál
noun	1	TRUE	dör
noun	2	FALSE	vófít
noun	2	TRUE	sökrük
noun	3	FALSE	bavalin
noun	3	TRUE	kümelők
verb	1	FALSE	bút
verb	1	TRUE	műt
verb	2	FALSE	rútíl
verb	2	TRUE	tőbök
verb	3	FALSE	kágulók
verb	3	TRUE	pészemep
noun	1	FALSE	klag
noun	1	TRUE	küf
noun	2	FALSE	vízíny
noun	2	TRUE	tükit
noun	3	FALSE	jogakut
noun	3	TRUE	lifivet
verb	1	FALSE	líz
verb	1	TRUE	güd
verb	2	FALSE	pubít
verb	2	TRUE	tirgit
verb	3	FALSE	rorlivag
verb	3	TRUE	pűjüszüz
noun	1	FALSE	bran
noun	1	TRUE	mit
noun	2	FALSE	túrar
noun	2	TRUE	szítíny
noun	3	FALSE	modítit
noun	3	TRUE	vödesük
verb	1	FALSE	vit
verb	1	TRUE	ből
verb	2	FALSE	szamil
verb	2	TRUE	sészil
verb	3	FALSE	sztolalít
verb	3	TRUE	tősüfér
noun	1	FALSE	far
noun	1	TRUE	ken
noun	2	FALSE	lílan
noun	2	TRUE	tüfün
noun	3	FALSE	vágyízog
noun	3	TRUE	züküpől
verb	1	FALSE	már
verb	1	TRUE	két
verb	2	FALSE	vámid
verb	2	TRUE	lővil
verb	3	FALSE	vóvafuz
verb	3	TRUE	peszínyit
noun	1	FALSE	vík
noun	1	TRUE	bift
noun	2	FALSE	lóraz
noun	2	TRUE	kőmöl
noun	3	FALSE	vónutjínt
noun	3	TRUE	pebövűj
verb	1	FALSE	bít
verb	1	TRUE	szől
verb	2	FALSE	kibul
verb	2	TRUE	pűlík
verb	3	FALSE	vószlungál
verb	3	TRUE	lékökík
noun	1	FALSE	tál
noun	1	TRUE	bin
noun	2	FALSE	tatir
noun	2	TRUE	zökem
noun	3	FALSE	rámbadog
noun	3	TRUE	szűmedelt
verb	1	FALSE	kol
verb	1	TRUE	gét
verb	2	FALSE	danal
verb	2	TRUE	breked
verb	3	FALSE	szojugyal
verb	3	TRUE	bípötűrt
noun	1	FALSE	szón
noun	1	TRUE	tőt
noun	2	FALSE	komíng
noun	2	TRUE	fűldböny
noun	3	FALSE	dílival
noun	3	TRUE	bedebél
verb	1	FALSE	tat
verb	1	TRUE	kel
verb	2	FALSE	lobok
verb	2	TRUE	seszüt
verb	3	FALSE	tamofól
verb	3	TRUE	mürgütelt
noun	1	FALSE	nut
noun	1	TRUE	bőp
noun	2	FALSE	búdur
noun	2	TRUE	lünyeg
noun	3	FALSE	ribafot
noun	3	TRUE	fégnigyől
verb	1	FALSE	vil
verb	1	TRUE	deld
verb	2	FALSE	lifal
verb	2	TRUE	tivet
verb	3	FALSE	rumadul
verb	3	TRUE	kümvekőt
noun	1	FALSE	szad
noun	1	TRUE	kéz
noun	2	FALSE	tasand
noun	2	TRUE	zűnün
noun	3	FALSE	molmífap
noun	3	TRUE	szöpírtöng
verb	1	FALSE	fag
verb	1	TRUE	szel
verb	2	FALSE	bálík
verb	2	TRUE	penyek
verb	3	FALSE	sónyafáz
verb	3	TRUE	rügüföl
noun	1	FALSE	kan
noun	1	TRUE	szőn
noun	2	FALSE	nóndoy
noun	2	TRUE	keneg
noun	3	FALSE	róvumut
noun	3	TRUE	fűreszkéz
verb	1	FALSE	bón
verb	1	TRUE	dük
verb	2	FALSE	kújtík
verb	2	TRUE	flírsül
verb	3	FALSE	furnutuk
verb	3	TRUE	besöpöz
noun	1	FALSE	sog
noun	1	TRUE	vej
noun	2	FALSE	mokít
noun	2	TRUE	vürnüz
noun	3	FALSE	jodugyop
noun	3	TRUE	rebükög
verb	1	FALSE	ból
verb	1	TRUE	löl
verb	2	FALSE	vordat
verb	2	TRUE	rüríl
verb	3	FALSE	bupovat
verb	3	TRUE	lémübel
noun	1	FALSE	bung
noun	1	TRUE	mir
noun	2	FALSE	kozum
noun	2	TRUE	kölöm
noun	3	FALSE	spisbabol
noun	3	TRUE	lépemög
verb	1	FALSE	vul
verb	1	TRUE	míl
verb	2	FALSE	plágak
verb	2	TRUE	kőtüz
verb	3	FALSE	fukírujt
verb	3	TRUE	fívejől
noun	1	FALSE	tíz
noun	1	TRUE	nür
noun	2	FALSE	szogín
noun	2	TRUE	fegregd
noun	3	FALSE	bujoprog
noun	3	TRUE	kílüdém
verb	1	FALSE	szut
verb	1	TRUE	bér
verb	2	FALSE	tapíl
verb	2	TRUE	pepík
verb	3	FALSE	fípírkut
verb	3	TRUE	sölelőr
noun	1	FALSE	szak
noun	1	TRUE	pül
noun	2	FALSE	bígyud
noun	2	TRUE	vezüm
noun	3	FALSE	biraszut
noun	3	TRUE	köptemőt
verb	1	FALSE	tog
verb	1	TRUE	líz
verb	2	FALSE	fumugy
verb	2	TRUE	sréldez
verb	3	FALSE	runtaftol
verb	3	TRUE	rűgevöz
noun	1	FALSE	szíl
noun	1	TRUE	ter
noun	2	FALSE	bumag
noun	2	TRUE	kídet
noun	3	FALSE	vítlupúz
noun	3	TRUE	grözírüg
verb	1	FALSE	lag
verb	1	TRUE	dül
verb	2	FALSE	dírgíl
verb	2	TRUE	sítüg
verb	3	FALSE	lákunak
verb	3	TRUE	vépepköt
noun	1	FALSE	tot
noun	1	TRUE	möm
noun	2	FALSE	búmínt
noun	2	TRUE	mütög
noun	3	FALSE	pusírtan
noun	3	TRUE	piszöfént
verb	1	FALSE	zút
verb	1	TRUE	ről
verb	2	FALSE	biszot
verb	2	TRUE	müszön
verb	3	FALSE	lóbisál
