onset	nucleus	coda	tr	word	target	keep_enough_distance	keep_no_overlap
gr	áç	em	gráçem	grácsem	gráçem	TRUE	TRUE
g	ám	elt	gámelt	gámelt	gámelt	TRUE	TRUE
kl	urd	eß	klurdeß	klurdesz	klurdeß	TRUE	TRUE
t	oc	éj	tocéj	tocéj	tocéj	TRUE	TRUE
fl	aç	eb	flaçeb	flacseb	flaçeb	TRUE	TRUE
f	orß	éd	forßéd	forszéd	forßéd	TRUE	TRUE
fr	up	éΩ	frupéΩ	frupézs	frupéΩ	TRUE	TRUE
sm	alv	eg	smalveg	smalveg	smalveg	TRUE	TRUE
kv	ang	eb	kvangeb	kvangeb	kvangeb	TRUE	TRUE
k	úsv	éz	kúsvéz	kúsvéz	kúsvéz	TRUE	TRUE
fl	ajß	ég	flajßég	flajszég	flajßég	TRUE	TRUE
v	ipk	eßt	vipkeßt	vipkeszt	vipkeßt	TRUE	TRUE
st	ód	el	stódel	stódel	stódel	TRUE	TRUE
t	apß	enc	tapßenc	tapszenc	tapßenc	TRUE	TRUE
fl	an	éj	flanéj	flanéj	flanéj	TRUE	TRUE
f	ip	erz	fiperz	fiperz	fiperz	TRUE	TRUE
m	ukf	é¬	mukfé¬	mukfély	mukfé¬	TRUE	TRUE
r	olv	en	rolven	rolven	rolven	TRUE	TRUE
p	anz	ec	panzec	panzec	panzec	TRUE	TRUE
sp	aj	et	spajet	spajet	spajet	TRUE	TRUE
sk	at	em	skatem	skatem	skatem	TRUE	TRUE
b	ißn	et	bißnet	bisznet	bißnet	TRUE	TRUE
sk	adr	et	skadret	skadret	skadret	TRUE	TRUE
sk	ab	él	skabél	skabél	skabél	TRUE	TRUE
g	up	é¬	gupé¬	gupély	gupé¬	TRUE	TRUE
d	ogr	ék	dogrék	dogrék	dogrék	TRUE	TRUE
©	ip	ét	©ipét	gyipét	©ipét	TRUE	TRUE
ç	itn	erz	çitnerz	csitnerz	çitnerz	TRUE	TRUE
NA	ort	é¬	orté¬	ortély	orté¬	TRUE	TRUE
kv	ázn	ej	kváznej	kváznej	kváznej	TRUE	TRUE
Ω	adr	ék	Ωadrék	zsadrék	Ωadrék	TRUE	TRUE
l	und	év	lundév	lundév	lundév	TRUE	TRUE
m	áb	éd	mábéd	mábéd	mábéd	TRUE	TRUE
Ω	alr	ef	Ωalref	zsalref	Ωalref	TRUE	TRUE
†	ikß	eg	†ikßeg	tyikszeg	†ikßeg	TRUE	TRUE
n	óm	éz	nóméz	nóméz	nóméz	TRUE	TRUE
f	át	ers	fáters	fáters	fáters	TRUE	TRUE
f	ádv	et	fádvet	fádvet	fádvet	TRUE	TRUE
©	ízj	ek	©ízjek	gyízjek	©ízjek	TRUE	TRUE
dΩ	itv	ec	dΩitvec	dzsitvec	dΩitvec	TRUE	TRUE
sk	óm	elv	skómelv	skómelv	skómelv	TRUE	TRUE
j	ásr	em	jásrem	jásrem	jásrem	TRUE	TRUE
skr	ól	éc	skróléc	skróléc	skróléc	TRUE	TRUE
sp	ímk	e¬	spímke¬	spímkely	spímke¬	TRUE	TRUE
n	ásr	ezt	násrezt	násrezt	násrezt	TRUE	TRUE
dΩ	il	ef	dΩilef	dzsilef	dΩilef	TRUE	TRUE
d	átk	eb	dátkeb	dátkeb	dátkeb	TRUE	TRUE
©	und	eßk	©undeßk	gyundeszk	©undeßk	TRUE	TRUE
kr	uc	éj	krucéj	krucéj	krucéj	TRUE	TRUE
p	íns	elv	pínselv	pínselv	pínselv	TRUE	TRUE
l	ágn	ed	lágned	lágned	lágned	TRUE	TRUE
g	ilm	éz	gilméz	gilméz	gilméz	TRUE	TRUE
s	im	ej	simej	simej	simej	TRUE	TRUE
br	úsl	ek	brúslek	brúslek	brúslek	TRUE	TRUE
h	ap	éc	hapéc	hapéc	hapéc	TRUE	TRUE
f	ißk	éc	fißkéc	fiszkéc	fißkéc	TRUE	TRUE
n	okß	ec	nokßec	nokszec	nokßec	TRUE	TRUE
f	ink	erz	finkerz	finkerz	finkerz	TRUE	TRUE
h	ótl	end	hótlend	hótlend	hótlend	TRUE	TRUE
sm	áln	et	smálnet	smálnet	smálnet	TRUE	TRUE
sm	ic	el	smicel	smicel	smicel	TRUE	TRUE
©	iv	éc	©ivéc	gyivéc	©ivéc	TRUE	TRUE
NA	anz	ers	anzers	anzers	anzers	TRUE	TRUE
ßl	ip	éj	ßlipéj	szlipéj	ßlipéj	TRUE	TRUE
st	apf	é¬	stapfé¬	stapfély	stapfé¬	TRUE	TRUE
tr	ism	éz	trisméz	trisméz	trisméz	TRUE	TRUE
kl	itn	ef	klitnef	klitnef	klitnef	TRUE	TRUE
fr	úkß	éd	frúkßéd	frúkszéd	frúkßéd	TRUE	TRUE
d	its	en	ditsen	ditsen	ditsen	TRUE	TRUE
m	ánd	éz	mándéz	mándéz	mándéz	TRUE	TRUE
k	ußt	ed	kußted	kuszted	kußted	TRUE	TRUE
st	uz	ég	stuzég	stuzég	stuzég	TRUE	TRUE
gr	úd	ét	grúdét	grúdét	grúdét	TRUE	TRUE
g	ótl	éd	gótléd	gótléd	gótléd	TRUE	TRUE
m	ovd	és	movdés	movdés	movdés	TRUE	TRUE
s	ímf	er	símfer	símfer	símfer	TRUE	TRUE
NA	anr	eb	anreb	anreb	anreb	TRUE	TRUE
sm	ig	ét	smigét	smigét	smigét	TRUE	TRUE
k	órn	éd	kórnéd	kórnéd	kórnéd	TRUE	TRUE
p	ofß	eb	pofßeb	pofszeb	pofßeb	TRUE	TRUE
tr	ayk	eb	traykeb	traykeb	traykeb	TRUE	TRUE
g	orv	es	gorves	gorves	gorves	TRUE	TRUE
n	om	erz	nomerz	nomerz	nomerz	TRUE	TRUE
Ω	ájk	e©	Ωájke©	zsájkegy	Ωájke©	TRUE	TRUE
ç	ám	ét	çámét	csámét	çámét	TRUE	TRUE
spr	óg	ej	sprógej	sprógej	sprógej	TRUE	TRUE
NA	ußj	é©	ußjé©	uszjégy	ußjé©	TRUE	TRUE
z	ámj	és	zámjés	zámjés	zámjés	TRUE	TRUE
ßp	urd	ef	ßpurdef	szpurdef	ßpurdef	TRUE	TRUE
l	orv	ép	lorvép	lorvép	lorvép	TRUE	TRUE
pr	omß	et	promßet	promszet	promßet	TRUE	TRUE
sl	á©	eb	slá©eb	slágyeb	slá©eb	TRUE	TRUE
c	itv	ern	citvern	citvern	citvern	TRUE	TRUE
ßp	ik	ert	ßpikert	szpikert	ßpikert	TRUE	TRUE
k	a†	él	ka†él	katyél	ka†él	TRUE	TRUE
sm	árv	éc	smárvéc	smárvéc	smárvéc	TRUE	TRUE
sp	if	é©	spifé©	spifégy	spifé©	TRUE	TRUE
sk	uc	ezt	skucezt	skucezt	skucezt	TRUE	TRUE
m	í¥l	év	mí¥lév	mínylév	mí¥lév	TRUE	TRUE
k	und	eßt	kundeßt	kundeszt	kundeßt	TRUE	TRUE
sk	apf	ég	skapfég	skapfég	skapfég	TRUE	TRUE
l	ók	éΩ	lókéΩ	lókézs	lókéΩ	TRUE	TRUE
n	ók	él	nókél	nókél	nókél	TRUE	TRUE
j	akt	ef	jaktef	jaktef	jaktef	TRUE	TRUE
k	ab	elv	kabelv	kabelv	kabelv	TRUE	TRUE
ßl	ij	ef	ßlijef	szlijef	ßlijef	TRUE	TRUE
ßl	idr	ép	ßlidrép	szlidrép	ßlidrép	TRUE	TRUE
tr	ód	el	tródel	tródel	tródel	TRUE	TRUE
sr	an	él	sranél	sranél	sranél	TRUE	TRUE
d	az	é¥	dazé¥	dazény	dazé¥	TRUE	TRUE
sk	ód	él	skódél	skódél	skódél	TRUE	TRUE
©	ic	ens	©icens	gyicens	©icens	TRUE	TRUE
ç	ínk	er	çínker	csínker	çínker	TRUE	TRUE
j	ín	erz	jínerz	jínerz	jínerz	TRUE	TRUE
sp	irt	e©	spirte©	spirtegy	spirte©	TRUE	TRUE
kl	ív	eßt	klíveßt	klíveszt	klíveßt	TRUE	TRUE
sp	igm	év	spigmév	spigmév	spigmév	TRUE	TRUE
k	ar	ent	karent	karent	karent	TRUE	TRUE
sm	uc	én	smucén	smucén	smucén	TRUE	TRUE
d	aß	él	daßél	daszél	daßél	TRUE	TRUE
sr	it	en	sriten	sriten	sriten	TRUE	TRUE
pr	igm	ej	prigmej	prigmej	prigmej	TRUE	TRUE
f	ayk	éc	faykéc	faykéc	faykéc	TRUE	TRUE
n	iv	eg	niveg	niveg	niveg	TRUE	TRUE
pr	ak	éd	prakéd	prakéd	prakéd	TRUE	TRUE
s	ábf	ég	sábfég	sábfég	sábfég	TRUE	TRUE
sl	ap	é©	slapé©	slapégy	slapé©	TRUE	TRUE
h	ód	éc	hódéc	hódéc	hódéc	TRUE	TRUE
kv	íml	eg	kvímleg	kvímleg	kvímleg	TRUE	TRUE
kv	áb	e¬	kvábe¬	kvábely	kvábe¬	TRUE	TRUE
f	ipk	e¬	fipke¬	fipkely	fipke¬	TRUE	TRUE
kl	ap	é¥	klapé¥	klapény	klapé¥	TRUE	TRUE
br	ap	el	brapel	brapel	brapel	TRUE	TRUE
c	ukf	év	cukfév	cukfév	cukfév	TRUE	TRUE
†	av	éΩ	†avéΩ	tyavézs	†avéΩ	TRUE	TRUE
gr	imb	ek	grimbek	grimbek	grimbek	TRUE	TRUE
ßl	íb	ed	ßlíbed	szlíbed	ßlíbed	TRUE	TRUE
v	oç	ef	voçef	vocsef	voçef	TRUE	TRUE
d	amz	ér	damzér	damzér	damzér	TRUE	TRUE
g	alv	ert	galvert	galvert	galvert	TRUE	TRUE
d	átv	ec	dátvec	dátvec	dátvec	TRUE	TRUE
fr	íp	ej	frípej	frípej	frípej	TRUE	TRUE
br	új	e¬	brúje¬	brújely	brúje¬	TRUE	TRUE
sk	ar	é¥	skaré¥	skarény	skaré¥	TRUE	TRUE
†	ikr	éß	†ikréß	tyikrész	†ikréß	TRUE	TRUE
kr	alf	éΩ	kralféΩ	kralfézs	kralféΩ	TRUE	TRUE
kl	íß	end	klíßend	klíszend	klíßend	TRUE	TRUE
b	ár¥	ec	bár¥ec	bárnyec	bár¥ec	TRUE	TRUE
d	aj	é©	dajé©	dajégy	dajé©	TRUE	TRUE
kv	óm	én	kvómén	kvómén	kvómén	TRUE	TRUE
sp	oc	é¬	spocé¬	spocély	spocé¬	TRUE	TRUE
pr	á©	ef	prá©ef	prágyef	prá©ef	TRUE	TRUE
v	óg	en	vógen	vógen	vógen	TRUE	TRUE
©	ojl	ek	©ojlek	gyojlek	©ojlek	TRUE	TRUE
†	apn	éß	†apnéß	tyapnész	†apnéß	TRUE	TRUE
kr	ing	ec	kringec	kringec	kringec	TRUE	TRUE
sp	írn	ef	spírnef	spírnef	spírnef	TRUE	TRUE
fr	alß	év	fralßév	fralszév	fralßév	TRUE	TRUE
sk	und	eb	skundeb	skundeb	skundeb	TRUE	TRUE
f	itn	él	fitnél	fitnél	fitnél	TRUE	TRUE
gr	ábf	é¥	grábfé¥	grábfény	grábfé¥	TRUE	TRUE
g	akn	e¬	gakne¬	gaknely	gakne¬	TRUE	TRUE
fl	id	ez	flidez	flidez	flidez	TRUE	TRUE
